Answer_ID,Bias
1,0.00154876708984375
2,0.024749755859375
4,0.059722900390625
3,0.025665283203125
1,0.019256591796875
4,0.03076171875
2,0.02398681640625
4,0.0272674560546875
1,0.037445068359375
2,0.048919677734375
2,0.04705810546875
4,0.0174407958984375
2,0.0081634521484375
2,0.04937744140625
2,0.05206298828125
2,0.00909423828125
1,0.009033203125
4,1.9609928131103516e-05
2,0.0479736328125
4,0.00299072265625
2,0.031982421875
2,0.032257080078125
1,0.013763427734375
3,0.0235595703125
2,0.006072998046875
2,8.988380432128906e-05
3,0.0648193359375
2,0.0216827392578125
3,0.08624267578125
2,0.05950927734375
2,0.0022125244140625
1,0.0002627372741699219
3,0.0284423828125
3,0.0241546630859375
3,0.008758544921875
2,0.022064208984375
4,0.0198211669921875
1,0.00010013580322265625
4,0.0036678314208984375
1,0.04608154296875
3,0.0247039794921875
4,0.04193115234375
4,0.021209716796875
2,0.0830078125
1,0.01428985595703125
4,0.04571533203125
3,0.0252227783203125
4,0.002124786376953125
3,0.032623291015625
2,0.045257568359375
3,0.00010544061660766602
1,0.035308837890625
3,0.127685546875
4,0.02508544921875
3,0.04815673828125
1,0.043853759765625
1,0.004913330078125
4,0.040985107421875
3,0.020355224609375
3,0.06683349609375
3,0.055633544921875
1,0.03216552734375
4,0.061492919921875
2,0.0048675537109375
3,0.0027523040771484375
3,0.05517578125
4,0.00183868408203125
3,0.0001583099365234375
3,0.034881591796875
2,0.00032258033752441406
3,5.501508712768555e-05
1,0.0021514892578125
2,0.059814453125
1,0.03466796875
2,0.10235595703125
4,0.057281494140625
1,0.08294677734375
3,0.00656890869140625
3,0.0243988037109375
2,0.044525146484375
4,0.04693603515625
2,0.056884765625
3,0.037506103515625
3,0.06549072265625
4,8.64267349243164e-05
1,0.00018024444580078125
4,0.04217529296875
4,0.023773193359375
2,0.04034423828125
2,0.0006761550903320312
1,0.05792236328125
3,0.039031982421875
1,0.01392364501953125
2,0.00540924072265625
1,0.045928955078125
2,0.0029163360595703125
1,0.029876708984375
3,0.1129150390625
1,0.021453857421875
4,0.027130126953125
2,0.02508544921875
3,0.062408447265625
4,0.01161956787109375
2,0.01544189453125
4,0.018096923828125
3,0.00913238525390625
1,0.0233001708984375
1,0.08245849609375
1,0.0318603515625
1,0.0296783447265625
3,0.059234619140625
2,0.041748046875
3,0.0139617919921875
1,0.0640869140625
2,0.0294036865234375
3,0.09918212890625
1,6.949901580810547e-05
2,0.0235595703125
3,0.01214599609375
2,0.00013363361358642578
1,6.514787673950195e-05
2,0.023468017578125
4,0.0253753662109375
4,0.0006556510925292969
4,0.0279541015625
4,0.0709228515625
4,0.037994384765625
3,0.0743408203125
2,0.00045299530029296875
1,0.028289794921875
4,0.053466796875
1,0.0128631591796875
1,0.05975341796875
2,0.0777587890625
1,4.315376281738281e-05
3,0.048065185546875
3,0.00066375732421875
1,0.00492095947265625
1,0.0251617431640625
1,0.0001621246337890625
3,0.072998046875
4,0.0090179443359375
2,0.0017156600952148438
4,0.0235748291015625
1,0.0005664825439453125
3,0.0172119140625
2,0.03955078125
2,0.02484130859375
4,0.058837890625
2,0.0032501220703125
